hour year,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1,0.093886569,0.098641888,0.104145491,0.154608876,0.201533725,0.22398212,0.233830066,0.263853529,0.231405299,0.248448584,0.264093944,0.280079288,0.296548728,0.31477804,0.332573726,0.356891731,0.37976568,0.403023891,0.419988541,0.433381325,0.442813482,0.452545454,0.462590135,0.472960325,0.48366985
2,0.092570237,0.095926545,0.099260237,0.148909527,0.189144851,0.205001933,0.220515058,0.244402892,0.220474519,0.237482631,0.251443156,0.264605846,0.277933512,0.292193742,0.305014347,0.330588019,0.342274125,0.350950435,0.351684507,0.345898726,0.353236087,0.360809157,0.368628164,0.376703261,0.385045463
3,0.09081839,0.095099414,0.097361543,0.14566388,0.184346239,0.198641844,0.209609232,0.234932364,0.211305389,0.231300639,0.253572725,0.277392733,0.302856442,0.330496662,0.357124416,0.377726703,0.392021206,0.404236841,0.408524282,0.407879608,0.416669117,0.425737059,0.435095367,0.444755892,0.454731447
4,0.089655016,0.094279813,0.096520633,0.144573052,0.181512636,0.197796164,0.205739418,0.23191417,0.212740813,0.231952783,0.256599156,0.282886811,0.311075683,0.341418491,0.370506128,0.375641974,0.376168269,0.375246228,0.372550753,0.371019377,0.380097032,0.38946486,0.399135403,0.409121112,0.419435441
5,0.091523137,0.095666606,0.098491623,0.147406866,0.184223319,0.198208522,0.209077088,0.239417153,0.215889809,0.235221531,0.258633525,0.283713939,0.310564686,0.339675108,0.368194523,0.377325815,0.383822572,0.389611809,0.394060487,0.400769321,0.410573804,0.42069147,0.431135848,0.441920369,0.453059529
6,0.094094826,0.098185367,0.101472339,0.153313952,0.191658297,0.209964073,0.222327651,0.246841451,0.224534583,0.247571601,0.269106882,0.291932702,0.316008996,0.34204928,0.366108044,0.373354757,0.374322914,0.373425986,0.371303874,0.371357984,0.380458482,0.389850625,0.399547046,0.409560286,0.419903898
7,0.094523335,0.11053231,0.103670436,0.160782409,0.207818515,0.224037171,0.224048014,0.262260858,0.245352504,0.266470659,0.280715035,0.292637038,0.303078842,0.314269724,0.324173654,0.350037752,0.366949436,0.364067013,0.356409838,0.348420621,0.355779488,0.363372581,0.371209977,0.379301685,0.38765856
8,0.089291373,0.095671749,0.101898217,0.144076526,0.177261464,0.196101173,0.210603716,0.224205597,0.205831217,0.229337997,0.235512821,0.241211481,0.246592918,0.252729341,0.25678677,0.29809171,0.328980414,0.337714354,0.345948771,0.356792317,0.364346256,0.372140075,0.380184072,0.388488476,0.397064375
9,0.077590321,0.079791575,0.081294723,0.116849303,0.140973268,0.155391929,0.163965784,0.186528554,0.160066586,0.17480293,0.179170078,0.183413697,0.187541591,0.192618659,0.196085424,0.228887873,0.25679333,0.263419165,0.262164243,0.257613212,0.261618021,0.265750997,0.270017667,0.274423529,0.278974637
10,0.069694572,0.072616028,0.067983409,0.086358726,0.101288764,0.098534874,0.094340635,0.094243163,0.093543503,0.109219133,0.107577833,0.105422262,0.102742314,0.100584812,0.096590028,0.111510766,0.12400226,0.136894634,0.147014568,0.151206913,0.153841838,0.156566303,0.159384367,0.162300061,0.16531789
11,0.068684877,0.068209816,0.067349347,0.081434811,0.082550174,0.092650158,0.087910782,0.085919089,0.081869521,0.09306887,0.090360016,0.087084447,0.083230019,0.079841556,0.074497635,0.090327925,0.103115206,0.116366493,0.124108649,0.127891194,0.12996896,0.132119274,0.134345488,0.136650934,0.139039374
12,0.068529566,0.06672814,0.066111525,0.072253985,0.066949071,0.073409163,0.072993155,0.066441081,0.068877904,0.07757274,0.074398892,0.07054669,0.066113154,0.062143826,0.056218278,0.055826489,0.05500413,0.053813355,0.052249047,0.053699423,0.055176931,0.056711858,0.058307061,0.059965376,0.061690044
