hour_year,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1,0.09,0.09,0.1,0.14,0.19,0.21,0.2200000,0.2400000,0.2200000,0.2300000,0.2500000,0.2700000,0.2900000,0.3100000,0.3300000,0.3400000,0.3500000,0.3500000,0.3600000,0.3700000,0.3800000,0.3900000,0.4000000,0.4100000,0.4200000
2,0.09,0.09,0.09,0.13,0.17,0.19,0.2000000,0.2200000,0.2000000,0.2200000,0.2300000,0.2500000,0.2600000,0.2800000,0.3000000,0.3000000,0.3000000,0.3000000,0.2900000,0.2800000,0.2900000,0.3000000,0.3100000,0.3100000,0.3200000
3,0.08,0.09,0.09,0.13,0.16,0.18,0.1900000,0.2100000,0.1900000,0.2100000,0.2300000,0.2600000,0.2900000,0.3200000,0.3500000,0.3500000,0.3600000,0.3600000,0.3500000,0.3500000,0.3600000,0.3700000,0.3800000,0.3900000,0.4000000
4,0.08,0.09,0.09,0.13,0.16,0.18,0.1900000,0.2100000,0.1900000,0.2100000,0.2400000,0.2600000,0.2900000,0.3200000,0.3600000,0.3600000,0.3600000,0.3600000,0.3600000,0.3600000,0.3700000,0.3800000,0.3900000,0.4000000,0.4100000
5,0.09,0.09,0.09,0.13,0.16,0.18,0.1900000,0.2100000,0.1900000,0.2100000,0.2400000,0.2600000,0.2900000,0.3200000,0.3500000,0.3600000,0.3700000,0.3800000,0.3800000,0.3900000,0.4000000,0.4100000,0.4200000,0.4300000,0.4400000
6,0.09,0.09,0.09,0.14,0.17,0.2,0.2100000,0.2200000,0.2100000,0.2300000,0.2500000,0.2800000,0.3000000,0.3300000,0.3500000,0.3600000,0.3600000,0.3600000,0.3600000,0.3600000,0.3700000,0.3800000,0.3900000,0.4000000,0.4100000
7,0.09,0.1,0.1,0.16,0.2,0.22,0.2200000,0.2500000,0.2400000,0.2600000,0.2700000,0.2900000,0.3000000,0.3100000,0.3200000,0.3200000,0.3300000,0.3300000,0.3300000,0.3300000,0.3400000,0.3500000,0.3500000,0.3600000,0.3700000
8,0.09,0.09,0.1,0.14,0.17,0.2,0.2100000,0.2200000,0.2000000,0.2300000,0.2300000,0.2400000,0.2500000,0.2500000,0.2600000,0.2700000,0.2700000,0.2800000,0.2900000,0.2900000,0.3000000,0.3100000,0.3200000,0.3200000,0.3300000
9,0.07,0.07,0.07,0.11,0.13,0.16,0.1600000,0.1800000,0.1600000,0.1700000,0.1700000,0.1800000,0.1800000,0.1800000,0.1900000,0.1800000,0.1700000,0.1500000,0.1400000,0.1200000,0.1300000,0.1300000,0.1300000,0.1400000,0.1400000
10,0.07,0.07,0.06,0.08,0.08,0.1,0.0900000,0.0800000,0.0900000,0.1000000,0.0900000,0.0900000,0.0800000,0.0700000,0.0600000,0.0600000,0.0600000,0.0500000,0.0500000,0.0400000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000
11,0.06,0.06,0.06,0.07,0.06,0.08,0.0700000,0.0600000,0.0600000,0.0800000,0.0700000,0.0700000,0.0600000,0.0500000,0.0400000,0.0400000,0.0300000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000
12,0.06,0.06,0.06,0.06,0.04,0.06,0.0500000,0.0500000,0.0500000,0.0400000,0.0400000,0.0400000,0.0300000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000
13,0.06,0.06,0.06,0.06,0.02,0.04,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0300000,0.0300000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000
14,0.06,0.06,0.05,0.05,0.02,0.03,0.0300000,0.0300000,0.0200000,0.0300000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000
15,0.06,0.05,0.05,0.04,0.02,0.02,0.0300000,0.0100000,0.0200000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0100000,0.0200000,0.0200000,0.0200000,0.0100000,0.0100000,0.0100000,0.0200000,0.0200000,0.0200000
16,0.06,0.06,0.06,0.07,0.05,0.05,0.0600000,0.0500000,0.0400000,0.0500000,0.0500000,0.0400000,0.0400000,0.0300000,0.0300000,0.0300000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000
17,0.08,0.08,0.08,0.13,0.16,0.18,0.1900000,0.2000000,0.1900000,0.2000000,0.2100000,0.2200000,0.2300000,0.2300000,0.2400000,0.2200000,0.2000000,0.1800000,0.1500000,0.1300000,0.1300000,0.1300000,0.1400000,0.1400000,0.1400000
18,0.11,0.11,0.12,0.19,0.24,0.27,0.2900000,0.3200000,0.2800000,0.2700000,0.2800000,0.2800000,0.2700000,0.2700000,0.2600000,0.2500000,0.2200000,0.1900000,0.1500000,0.1100000,0.1100000,0.1100000,0.1200000,0.1200000,0.1200000
19,0.1,0.1,0.11,0.16,0.2,0.23,0.2300000,0.2500000,0.2200000,0.2200000,0.2100000,0.1900000,0.1700000,0.1500000,0.1300000,0.1400000,0.1600000,0.1700000,0.1900000,0.2100000,0.2200000,0.2200000,0.2300000,0.2300000,0.2400000
20,0.09,0.09,0.1,0.15,0.18,0.21,0.2200000,0.2400000,0.2100000,0.2100000,0.2000000,0.1900000,0.1800000,0.1700000,0.1500000,0.1800000,0.2100000,0.2400000,0.2700000,0.3000000,0.3100000,0.3200000,0.3200000,0.3300000,0.3400000
21,0.09,0.09,0.09,0.14,0.17,0.19,0.2100000,0.2400000,0.2200000,0.2400000,0.2300000,0.2100000,0.2000000,0.1800000,0.1600000,0.2000000,0.2400000,0.2800000,0.3200000,0.3700000,0.3800000,0.3800000,0.3900000,0.4000000,0.4200000
22,0.09,0.09,0.09,0.13,0.16,0.18,0.2000000,0.2300000,0.2200000,0.2400000,0.2400000,0.2400000,0.2500000,0.2500000,0.2600000,0.2900000,0.3300000,0.3700000,0.4100000,0.4500000,0.4600000,0.4800000,0.4900000,0.5000000,0.5100000
23,0.09,0.09,0.1,0.15,0.18,0.2,0.2300000,0.2500000,0.2300000,0.2300000,0.2400000,0.2500000,0.2500000,0.2600000,0.2600000,0.2900000,0.3200000,0.3500000,0.3800000,0.4100000,0.4200000,0.4300000,0.4400000,0.4500000,0.4600000
24,0.09,0.09,0.1,0.15,0.18,0.2,0.2200000,0.2500000,0.2300000,0.2400000,0.2600000,0.2700000,0.2900000,0.3100000,0.3200000,0.3400000,0.3600000,0.3700000,0.3800000,0.3900000,0.4000000,0.4100000,0.4200000,0.4300000,0.4400000
25,0.09,0.09,0.1,0.14,0.19,0.21,0.2200000,0.2400000,0.2200000,0.2300000,0.2500000,0.2700000,0.2900000,0.3100000,0.3300000,0.3400000,0.3500000,0.3500000,0.3600000,0.3700000,0.3800000,0.3900000,0.4000000,0.4100000,0.4200000
26,0.09,0.09,0.09,0.13,0.17,0.19,0.2000000,0.2200000,0.2000000,0.2200000,0.2300000,0.2500000,0.2600000,0.2800000,0.3000000,0.3000000,0.3000000,0.3000000,0.2900000,0.2800000,0.2900000,0.3000000,0.3100000,0.3100000,0.3200000
27,0.08,0.09,0.09,0.13,0.16,0.18,0.1900000,0.2100000,0.1900000,0.2100000,0.2300000,0.2600000,0.2900000,0.3200000,0.3500000,0.3500000,0.3600000,0.3600000,0.3500000,0.3500000,0.3600000,0.3700000,0.3800000,0.3900000,0.4000000
28,0.08,0.09,0.09,0.13,0.16,0.18,0.1900000,0.2100000,0.1900000,0.2100000,0.2400000,0.2600000,0.2900000,0.3200000,0.3600000,0.3600000,0.3600000,0.3600000,0.3600000,0.3600000,0.3700000,0.3800000,0.3900000,0.4000000,0.4100000
29,0.09,0.09,0.09,0.13,0.16,0.18,0.1900000,0.2100000,0.1900000,0.2100000,0.2400000,0.2600000,0.2900000,0.3200000,0.3500000,0.3600000,0.3700000,0.3800000,0.3800000,0.3900000,0.4000000,0.4100000,0.4200000,0.4300000,0.4400000
30,0.09,0.09,0.09,0.14,0.17,0.2,0.2100000,0.2200000,0.2100000,0.2300000,0.2500000,0.2800000,0.3000000,0.3300000,0.3500000,0.3600000,0.3600000,0.3600000,0.3600000,0.3600000,0.3700000,0.3800000,0.3900000,0.4000000,0.4100000
31,0.09,0.1,0.1,0.16,0.2,0.22,0.2200000,0.2500000,0.2400000,0.2600000,0.2700000,0.2900000,0.3000000,0.3100000,0.3200000,0.3200000,0.3300000,0.3300000,0.3300000,0.3300000,0.3400000,0.3500000,0.3500000,0.3600000,0.3700000
32,0.09,0.09,0.1,0.14,0.17,0.2,0.2100000,0.2200000,0.2000000,0.2300000,0.2300000,0.2400000,0.2500000,0.2500000,0.2600000,0.2700000,0.2700000,0.2800000,0.2900000,0.2900000,0.3000000,0.3100000,0.3200000,0.3200000,0.3300000
33,0.07,0.07,0.07,0.11,0.13,0.16,0.1600000,0.1800000,0.1600000,0.1700000,0.1700000,0.1800000,0.1800000,0.1800000,0.1900000,0.1800000,0.1700000,0.1500000,0.1400000,0.1200000,0.1300000,0.1300000,0.1300000,0.1400000,0.1400000
34,0.07,0.07,0.06,0.08,0.08,0.1,0.0900000,0.0800000,0.0900000,0.1000000,0.0900000,0.0900000,0.0800000,0.0700000,0.0600000,0.0600000,0.0600000,0.0500000,0.0500000,0.0400000,0.0500000,0.0500000,0.0500000,0.0500000,0.0500000
35,0.06,0.06,0.06,0.07,0.06,0.08,0.0700000,0.0600000,0.0600000,0.0800000,0.0700000,0.0700000,0.0600000,0.0500000,0.0400000,0.0400000,0.0300000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000
36,0.06,0.06,0.06,0.06,0.04,0.06,0.0500000,0.0500000,0.0500000,0.0400000,0.0400000,0.0400000,0.0300000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000
37,0.06,0.06,0.06,0.06,0.02,0.04,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0400000,0.0300000,0.0300000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000
38,0.06,0.06,0.05,0.05,0.02,0.03,0.0300000,0.0300000,0.0200000,0.0300000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000
39,0.06,0.05,0.05,0.04,0.02,0.02,0.0300000,0.0100000,0.0200000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0100000,0.0200000,0.0200000,0.0200000,0.0100000,0.0100000,0.0100000,0.0200000,0.0200000,0.0200000
40,0.06,0.06,0.06,0.07,0.05,0.05,0.0600000,0.0500000,0.0400000,0.0500000,0.0500000,0.0400000,0.0400000,0.0300000,0.0300000,0.0300000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000
41,0.08,0.08,0.08,0.13,0.16,0.18,0.1900000,0.2000000,0.1900000,0.2000000,0.2100000,0.2200000,0.2300000,0.2300000,0.2400000,0.2200000,0.2000000,0.1800000,0.1500000,0.1300000,0.1300000,0.1300000,0.1400000,0.1400000,0.1400000
42,0.11,0.11,0.12,0.19,0.24,0.27,0.2900000,0.3200000,0.2800000,0.2700000,0.2800000,0.2800000,0.2700000,0.2700000,0.2600000,0.2500000,0.2200000,0.1900000,0.1500000,0.1100000,0.1100000,0.1100000,0.1200000,0.1200000,0.1200000
43,0.1,0.1,0.11,0.16,0.2,0.23,0.2300000,0.2500000,0.2200000,0.2200000,0.2100000,0.1900000,0.1700000,0.1500000,0.1300000,0.1400000,0.1600000,0.1700000,0.1900000,0.2100000,0.2200000,0.2200000,0.2300000,0.2300000,0.2400000
44,0.09,0.09,0.1,0.15,0.18,0.21,0.2200000,0.2400000,0.2100000,0.2100000,0.2000000,0.1900000,0.1800000,0.1700000,0.1500000,0.1800000,0.2100000,0.2400000,0.2700000,0.3000000,0.3100000,0.3200000,0.3200000,0.3300000,0.3400000
45,0.09,0.09,0.09,0.14,0.17,0.19,0.2100000,0.2400000,0.2200000,0.2400000,0.2300000,0.2100000,0.2000000,0.1800000,0.1600000,0.2000000,0.2400000,0.2800000,0.3200000,0.3700000,0.3800000,0.3800000,0.3900000,0.4000000,0.4200000
46,0.09,0.09,0.09,0.13,0.16,0.18,0.2000000,0.2300000,0.2200000,0.2400000,0.2400000,0.2400000,0.2500000,0.2500000,0.2600000,0.2900000,0.3300000,0.3700000,0.4100000,0.4500000,0.4600000,0.4800000,0.4900000,0.5000000,0.5100000
47,0.09,0.09,0.1,0.15,0.18,0.2,0.2300000,0.2500000,0.2300000,0.2300000,0.2400000,0.2500000,0.2500000,0.2600000,0.2600000,0.2900000,0.3200000,0.3500000,0.3800000,0.4100000,0.4200000,0.4300000,0.4400000,0.4500000,0.4600000
48,0.09,0.09,0.1,0.15,0.18,0.2,0.2200000,0.2500000,0.2300000,0.2400000,0.2600000,0.2700000,0.2900000,0.3100000,0.3200000,0.3400000,0.3600000,0.3700000,0.3800000,0.3900000,0.4000000,0.4100000,0.4200000,0.4300000,0.4400000
49,0.09,0.09,0.1,0.15,0.2,0.21,0.2300000,0.2600000,0.2300000,0.2400000,0.2400000,0.2400000,0.2300000,0.2300000,0.2300000,0.2600000,0.2900000,0.3200000,0.3600000,0.3900000,0.4000000,0.4100000,0.4300000,0.4400000,0.4500000
50,0.09,0.09,0.1,0.14,0.19,0.21,0.2200000,0.2400000,0.2300000,0.2300000,0.2600000,0.2800000,0.3000000,0.3300000,0.3500000,0.3500000,0.3500000,0.3400000,0.3200000,0.2900000,0.3000000,0.3100000,0.3100000,0.3200000,0.3300000
51,0.09,0.09,0.09,0.14,0.17,0.19,0.2000000,0.2200000,0.2200000,0.2200000,0.2500000,0.2800000,0.3100000,0.3400000,0.3700000,0.3500000,0.3300000,0.3000000,0.2700000,0.2400000,0.2500000,0.2500000,0.2600000,0.2600000,0.2700000
52,0.08,0.09,0.09,0.13,0.17,0.18,0.1900000,0.2100000,0.2000000,0.2000000,0.2300000,0.2600000,0.2800000,0.3200000,0.3500000,0.3500000,0.3500000,0.3400000,0.3400000,0.3300000,0.3400000,0.3500000,0.3600000,0.3700000,0.3800000
53,0.08,0.09,0.09,0.13,0.16,0.18,0.1900000,0.2100000,0.1900000,0.2000000,0.2200000,0.2500000,0.2800000,0.3100000,0.3400000,0.3500000,0.3500000,0.3500000,0.3500000,0.3600000,0.3700000,0.3700000,0.3800000,0.3900000,0.4000000
54,0.08,0.09,0.09,0.13,0.17,0.18,0.1900000,0.2100000,0.1900000,0.2000000,0.2200000,0.2500000,0.2800000,0.3100000,0.3400000,0.3400000,0.3400000,0.3300000,0.3200000,0.3200000,0.3300000,0.3400000,0.3400000,0.3500000,0.3600000
55,0.09,0.09,0.09,0.14,0.18,0.19,0.2200000,0.2200000,0.2100000,0.2300000,0.2500000,0.2700000,0.2900000,0.3200000,0.3500000,0.3500000,0.3500000,0.3500000,0.3400000,0.3400000,0.3500000,0.3600000,0.3700000,0.3800000,0.3900000
56,0.08,0.08,0.09,0.12,0.15,0.17,0.1700000,0.1700000,0.1700000,0.1800000,0.1900000,0.2100000,0.2300000,0.2500000,0.2600000,0.2500000,0.2300000,0.2100000,0.1900000,0.1700000,0.1800000,0.1800000,0.1900000,0.1900000,0.2000000
57,0.06,0.07,0.07,0.08,0.1,0.1,0.1000000,0.1000000,0.0800000,0.0900000,0.0800000,0.0700000,0.0500000,0.0400000,0.0300000,0.0300000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000,0.0200000
58,0.05,0.05,0.06,0.04,0.03,0.03,0.0200000,0.0100000,0.0200000,0.0100000,0.0100000,0.0100000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
59,0.05,0.05,0.05,0.03,0.03,0.02,0.0200000,0.0100000,0.0000000,0.0000000,0.0100000,0.0100000,0.0000000,0.0000000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
60,0.05,0.05,0.04,0.03,0.01,0.01,0.0100000,0.0100000,0.0100000,0.0000000,0.0100000,0.0100000,0.0100000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
61,0.05,0.05,0.04,0.02,0.01,0.01,0.0100000,0.0100000,0.0100000,0.0100000,0.0100000,0.0100000,0.0100000,0.0100000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
62,0.05,0.05,0.03,0.01,0.01,0.01,0.0100000,0.0100000,0.0000000,0.0000000,0.0100000,0.0100000,0.0000000,0.0000000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
63,0.05,0.05,0.04,0.03,0.01,0.01,0.0100000,0.0100000,0.0100000,0.0000000,0.0100000,0.0100000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
64,0.05,0.05,0.05,0.06,0.06,0.06,0.0500000,0.0300000,0.0200000,0.0300000,0.0300000,0.0200000,0.0100000,0.0100000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
65,0.08,0.08,0.09,0.12,0.15,0.17,0.1700000,0.1900000,0.1800000,0.1800000,0.1900000,0.2100000,0.2300000,0.2500000,0.2700000,0.2700000,0.2800000,0.2800000,0.2800000,0.2900000,0.3000000,0.3100000,0.3100000,0.3200000,0.3300000
